name,salary_from,salary_to,salary_currency,area_name,published_at
Intern Front-end Developer,,,,Ташкент,2022-11-21T00:41:34+0300
Докер-механизатор,62000.0,65000.0,RUR,Находка,2022-11-21T01:34:24+0300
"Инженер по БДД, ОТ и ПБ на транспорте",174000.0,174000.0,RUR,Новый Уренгой,2022-11-21T00:40:15+0300
Инженер по тестированию web-приложений,50000.0,80000.0,RUR,Владивосток,2022-11-21T03:08:01+0300
Инженер технической поддержки,70000.0,80000.0,RUR,Москва,2022-11-21T01:06:55+0300
Intern .NET Developer,,,,Ташкент,2022-11-21T00:41:34+0300
Системный администратор,50000.0,,RUR,Магадан,2022-11-21T01:45:02+0300
Разработчик интеграционных сервисов (IBM Integration Bus),,,,Москва,2022-11-21T00:16:25+0300
Программист 1С,35000.0,,RUR,Чита,2022-11-21T02:42:15+0300
Механик,60000.0,65000.0,RUR,Владивосток,2022-11-21T03:32:20+0300
Техник по КИП и автоматике,,,,Хабаровск,2022-11-21T02:31:22+0300
Бизнес-аналитик,150000.0,,RUR,Санкт-Петербург,2022-11-21T00:41:34+0300
Инженер по компьютерному обеспечению и связи,80000.0,90000.0,RUR,Южно-Сахалинск,2022-11-21T03:08:48+0300
Специалист по сервисному обслуживанию банковского оборудования,68000.0,,RUR,Южно-Сахалинск,2022-11-21T02:53:19+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,50000.0,,RUR,Белогорск,2022-11-21T03:38:17+0300
Программист Service Desk,60000.0,,RUR,Владивосток,2022-11-21T02:53:12+0300
Кредитный инспектор крупного и среднего бизнеса,,,,Владивосток,2022-11-21T02:48:34+0300
"Инженер по БДД, ОТ и ПБ на транспорте",174000.0,174000.0,RUR,Нижневартовск,2022-11-21T00:40:15+0300
"Инженер по БДД, ОТ и ПБ на транспорте",174000.0,174000.0,RUR,Новосибирск,2022-11-21T00:40:15+0300
Intern PHP Developer,,,,Ташкент,2022-11-21T00:41:34+0300
Руководитель участка технической поддержки,,,,Жердевка,2022-11-21T00:03:33+0300
Системный администратор,35000.0,,RUR,Чита,2022-11-21T02:40:41+0300
Руководитель отдела IT и информационной безопасности,150000.0,,RUR,Москва,2022-11-21T03:47:13+0300
Главный специалист отдела инженерно-технических средств охраны,,,,Ангарск,2022-11-21T02:55:45+0300
"Автор студенческих работ (копирайтинг, работа с текстом)",70000.0,150000.0,RUR,Москва,2022-11-21T00:41:36+0300
Инженер-программист 1С,100000.0,,RUR,Южно-Сахалинск,2022-11-21T02:02:54+0300
Токарь,,,,Волхов,2022-11-21T01:25:50+0300
Старший оператор гибочного станка (р.п. Маркова),100000.0,,RUR,Иркутск,2022-11-21T03:53:51+0300
Технический писатель,139000.0,,RUR,Санкт-Петербург,2022-11-21T00:41:34+0300
"Java разработчик (проект ""Группы"" в Одноклассниках)",,,,Санкт-Петербург,2022-11-21T00:41:30+0300
Главный специалист отдела инженерно-технических средств охраны,,,,Свободный,2022-11-21T02:55:45+0300
Системный администратор,45000.0,55000.0,RUR,Хабаровск,2022-11-21T02:53:29+0300
Главный специалист отдела инженерно-технических средств охраны,,,,Сосногорск,2022-11-21T02:55:45+0300
Ведущий инженер по сопровождению систем ДБО,,,,Благовещенск (Амурская область),2022-11-21T03:56:35+0300
Главный специалист отдела инженерно-технических средств охраны,,,,Оренбург,2022-11-21T02:55:45+0300
Senior Backend Developer (Go) (to Lisbon),380000.0,,RUR,Москва,2022-11-21T00:41:22+0300
Оператор токарно-фрезерного станка с ЧПУ,70000.0,,RUR,Екатеринбург,2022-11-21T07:29:21+0300
Junior Java-разработчик,,,,Алматы,2022-11-21T07:18:11+0300
Оператор станков с ЧПУ (печатник),35000.0,50000.0,RUR,Пермь,2022-11-21T06:30:04+0300
Frontend Developer,80000.0,100000.0,RUR,Новокузнецк,2022-11-21T07:44:21+0300
Инженер-механик,35000.0,40000.0,RUR,Иркутск,2022-11-21T04:11:51+0300
Стажер-программист 1С,60000.0,,KZT,Алматы,2022-11-21T07:35:49+0300
Администратор проекта,,,,Новосибирск,2022-11-21T06:17:36+0300
Рабочий на производстве,800.0,1800.0,BYR,Минск,2022-11-21T07:56:10+0300
Специалист по IT,200000.0,,KZT,Алматы,2022-11-21T06:29:22+0300
Технический специалист ( Монтажник ),,,,Москва,2022-11-21T06:40:01+0300
Специалист IT отдела,290000.0,,KZT,Усть-Каменогорск,2022-11-21T07:31:06+0300
Frontend developer,70000.0,,RUR,Уфа,2022-11-21T06:44:38+0300
Копирайтер,,,,Алматы,2022-11-21T07:41:28+0300
Фрезеровщик,65000.0,75000.0,RUR,Екатеринбург,2022-11-21T06:25:36+0300
Дизайнер (отдел маркетинга),40000.0,,RUR,Томск,2022-11-21T06:43:14+0300
Оператор станка ЧПУ лазерной резки по ДЕРЕВУ,45000.0,,RUR,Самара,2022-11-21T07:43:02+0300
Техник-программист,30000.0,37000.0,RUR,Уфа,2022-11-21T07:19:49+0300
Заместитель главного механика,,,,Челябинск,2022-11-21T07:24:26+0300
Токарь,65000.0,,RUR,Ижевск,2022-11-21T07:26:24+0300
Manual QA-инженер в команду Navi,,,,Санкт-Петербург,2022-11-21T06:22:09+0300
Распиловщик / Оператор форматно-раскроечного станка,70000.0,80000.0,RUR,Санкт-Петербург,2022-11-21T07:32:22+0300
Монтажник РЭАиП,,,,Томск,2022-11-21T05:34:05+0300
Помощник в мастерскую по дереву,20000.0,35000.0,RUR,Томск,2022-11-21T07:30:01+0300
Фрезеровщик,60000.0,100000.0,RUR,Оренбург,2022-11-21T07:07:06+0300
Главный механик,70000.0,,RUR,Тюмень,2022-11-21T07:56:51+0300
Инженер информационной безопасности,,,,Астана,2022-11-21T06:58:00+0300
Сервисный инженер / мастер по ремонту ПК,80000.0,87000.0,RUR,Владивосток,2022-11-21T04:41:10+0300
Системный администратор,200000.0,230000.0,KZT,Караганда,2022-11-21T05:15:45+0300
Графический дизайнер,150000.0,,KZT,Алматы,2022-11-21T07:39:02+0300
Project Manager,100000.0,,RUR,Барнаул,2022-11-21T04:06:56+0300
Дизайнер,40000.0,45000.0,RUR,Иркутск,2022-11-21T05:18:09+0300
Системный администратор,,,,Якутск,2022-11-21T04:38:36+0300
Аналитик данных (г. Тюмень),,,,Тюмень,2022-11-21T07:57:34+0300
Manual QA-инженер в команду Navi,,,,Казань,2022-11-21T06:22:19+0300
Системный администратор,84000.0,84000.0,RUR,Хабаровск,2022-11-21T06:50:34+0300
Специалист ИТ поддержки/ Системный администратор Castorama,32000.0,,RUR,Саратов,2022-11-21T07:18:27+0300
Стажер-разработчик/Стажер-программист,,,,Барнаул,2022-11-21T06:21:32+0300
Специалист системы мониторинга,80000.0,80000.0,KZT,Алматы,2022-11-21T07:12:34+0300
Junior DevOps / Системный администратор,80000.0,,RUR,Томск,2022-11-21T05:05:42+0300
Разработчик встраиваемых систем STM32/Cortex-M,,,,Алматы,2022-11-21T05:59:01+0300
Инженер-проектировщик электроснабжения (начинающий специалист),30000.0,40000.0,RUR,Новосибирск,2022-11-21T07:18:11+0300
QA Engineer (Backend),,,,Москва,2022-11-21T06:26:09+0300
SQL-специалист,,,,Новосибирск,2022-11-21T06:26:03+0300
Специалист технической поддержки (HelpDesk),210000.0,280000.0,KZT,Алматы,2022-11-21T07:53:02+0300
Программист,,53000.0,RUR,Чита,2022-11-21T04:52:49+0300
Оператор станков с ПУ,50000.0,,RUR,Екатеринбург,2022-11-21T07:41:46+0300
Руководитель проекта,200000.0,250000.0,RUR,Новый Уренгой,2022-11-21T06:43:05+0300
Графический дизайнер,6000000.0,8000000.0,UZS,Самарканд,2022-11-21T07:48:51+0300
Механик,67000.0,67295.0,RUR,Сургут,2022-11-21T07:14:18+0300
Оператор станков с ЧПУ,34000.0,,RUR,Ижевск,2022-11-21T07:02:55+0300
Консультант SAP SD,,,,Москва,2022-11-21T06:58:01+0300
Фрезеровщик (ТФС-1 / ИР-198),60000.0,,RUR,Прокопьевск,2022-11-21T04:39:42+0300
Системный аналитик,,,,Алматы,2022-11-21T07:18:43+0300
Аналитик,,,,Алматы,2022-11-21T07:37:05+0300
Сигналист,,45500.0,RUR,Красноярск,2022-11-21T07:34:45+0300
Эксперт (развитие сетей),120000.0,,RUR,Москва,2022-11-21T07:47:02+0300
Электромеханик,67000.0,,RUR,Нижневартовск,2022-11-21T06:33:36+0300
Руководитель проекта,200000.0,250000.0,RUR,Уфа,2022-11-21T06:43:05+0300
Эксперт отдела подключения,,,,Ташкент,2022-11-21T06:40:52+0300
Программист Python,140000.0,,RUR,Тюмень,2022-11-21T07:45:59+0300
Программист С++ (Linux backend),,,,Омск,2022-11-21T07:47:31+0300
Финансовый советник,100000.0,,RUR,Екатеринбург,2022-11-21T07:34:19+0300
Программист 1С,,,,Санкт-Петербург,2022-11-21T07:47:05+0300
Токарь,90000.0,100000.0,RUR,Благовещенск (Амурская область),2022-11-21T04:18:19+0300
1С Разработчик (Senior|Middle+),,,,Москва,2022-11-21T04:54:18+0300
Механик,,,,Иркутск,2022-11-21T05:51:19+0300
Технический специалист,35000.0,,RUR,Орск,2022-11-21T06:03:43+0300
Оператор станков с ЧПУ (токарная и фрезерная группа),50000.0,100000.0,RUR,Новосибирск,2022-11-21T05:09:52+0300
Оператор на фрезерный станок с ЧПУ по дереву,,,,Барнаул,2022-11-21T05:14:31+0300
Бизнес-аналитик,85000.0,,RUR,Тюмень,2022-11-21T07:52:00+0300
Разработчик ПО для встраиваемых систем (embedded) STM32/Cortex-M,,,,Алматы,2022-11-21T05:58:14+0300
Главный механик,150000.0,,RUR,Новый Уренгой,2022-11-21T07:33:33+0300
Системный администратор,60000.0,,RUR,Хабаровск,2022-11-21T07:24:51+0300
