name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь 6 разряд,40000.0,,RUR,Пермь,2022-11-21T06:16:27+0300
Руководитель проекта / менеджер проектного офиса,60000.0,,RUR,Пермь,2022-11-21T07:43:44+0300
Программист 1С ERP,,,,Пермь,2022-11-21T07:32:48+0300
Product manager,,,,Москва,2022-11-21T06:17:52+0300
Инженер-механик сервисной службы,140000.0,,RUR,Якутск,2022-11-21T05:51:57+0300
Системный аналитик,,,,Москва,2022-11-21T04:55:59+0300
Специалист техподдержки / Системный администратор,60000.0,65000.0,RUR,Владивосток,2022-11-21T04:40:18+0300
Главный механик,,,,Пенза,2022-11-21T05:06:58+0300
Аналитик Департамента организации контрактного производства и закупок,,,,Новосибирск,2022-11-21T05:09:04+0300
Электромеханик ОГР,85000.0,,RUR,Белово,2022-11-21T06:18:13+0300
Руководитель проекта,200000.0,250000.0,RUR,Нижневартовск,2022-11-21T06:43:05+0300
Выездной инженер технической поддержки,45000.0,,RUR,Бийск,2022-11-21T06:35:01+0300
Станочник широкого профиля/токарь (г. Северобайкальск),40000.0,45000.0,RUR,Северобайкальск,2022-11-21T04:34:33+0300
QA Automation Engineer (java),,,,Москва,2022-11-21T06:26:09+0300
Старший системный администратор,43000.0,62000.0,RUR,Челябинск,2022-11-21T07:09:32+0300
Аналитик 1С,80000.0,,RUR,Владивосток,2022-11-21T04:07:07+0300
Фрезеровщик,,30000.0,RUR,Томск,2022-11-21T05:22:39+0300
Программист 1С,100000.0,140000.0,RUR,Красноярск,2022-11-21T04:22:38+0300
Ведущий специалист по технической поддержке пользователей,,,,Баймак,2022-11-21T06:15:32+0300
Начальник отдела программирования,,60000.0,RUR,Чита,2022-11-21T04:52:22+0300
Оператор станков с ЧПУ (cтанки FICEP)/ученик,40000.0,60000.0,RUR,Новокузнецк,2022-11-21T04:35:52+0300
Механик,55000.0,,RUR,Екатеринбург,2022-11-21T07:54:14+0300
Специалист по подключению абонентов (Пригород),60000.0,,RUR,Обь,2022-11-21T07:25:39+0300
Главный механик в производстве,51000.0,51000.0,RUR,Саратов,2022-11-21T07:40:59+0300
Ведущий специалист по информационной безопасности,,,,Санкт-Петербург,2022-11-21T07:45:01+0300
Системный администратор/инженер (IT-аутсорсинг),,,,Анжеро-Судженск,2022-11-21T07:42:38+0300
Manual QA-инженер в команду Navi,,,,Новосибирск,2022-11-21T06:22:02+0300
Golang backend - разработчик,,,,Челябинск,2022-11-21T07:05:52+0300
Консультант 1C,,,,Дзержинск (Нижегородская область),2022-11-21T07:52:31+0300
Аналитик продаж,,,,Новосибирск,2022-11-21T07:40:52+0300
Программист 1С,120000.0,,RUR,Ижевск,2022-11-21T07:11:15+0300
Специалист технической поддержки,30000.0,40000.0,RUR,Краснодар,2022-11-21T07:49:29+0300
Токарь,50000.0,,RUR,Екатеринбург,2022-11-21T06:26:30+0300
Механик по ремонту,,54000.0,RUR,Красноярск,2022-11-21T06:10:04+0300
Технический директор,,,,Калтан,2022-11-21T05:45:30+0300
Программист 1С,100000.0,140000.0,RUR,Хабаровск,2022-11-21T04:22:38+0300
Оператор токарно-фрезерного станка с ЧПУ,70000.0,,RUR,Березовский (Свердловская область),2022-11-21T07:29:21+0300
Токарь - Фрезеровщик,40000.0,,RUR,Прокопьевск,2022-11-21T04:39:36+0300
Программист 1С,100000.0,140000.0,RUR,Южно-Сахалинск,2022-11-21T04:22:38+0300
Механик по эксплуатации транспорта,,,,Брянск,2022-11-21T07:58:25+0300
Разработчик С#/Delphi,,,,Челябинск,2022-11-21T06:57:50+0300
Программист 1С,,,,Волгоград,2022-11-21T07:54:22+0300
Разработчик PL/SQL,,,,Новосибирск,2022-11-21T06:54:47+0300
Специалист по технической поддержке информационно-коммуникационных систем,42000.0,42000.0,RUR,Энгельс,2022-11-21T07:41:33+0300
Middle Data engineer,,,,Новосибирск,2022-11-21T06:39:31+0300
"Инженер БСМТ, Глонасс",45000.0,,RUR,Красноярск,2022-11-21T06:22:58+0300
Сервисный инженер,,,,Екатеринбург,2022-11-21T07:13:41+0300
Токарь-карусельщик,45000.0,,RUR,Омск,2022-11-21T05:08:01+0300
Механик по транспорту,120000.0,,RUR,Иркутск,2022-11-21T06:02:56+0300
"Лаборант мастерской ""Токарные/ фрезерные станки работы на станках с ЧПУ""",,,,Курган,2022-11-21T06:23:55+0300
Fullstack QA (mobile),,,,Санкт-Петербург,2022-11-21T06:26:09+0300
Инженер-механик по холодильному оборудованию,39000.0,,RUR,Омск,2022-11-21T05:43:53+0300
Механик по транспорту,52000.0,52000.0,RUR,Находка,2022-11-21T05:14:47+0300
Токарь (крупногабаритные),123000.0,,RUR,Бийск,2022-11-21T07:19:40+0300
Токарь,20000.0,20000.0,RUR,Барнаул,2022-11-21T05:31:36+0300
Программист 1С,100000.0,140000.0,RUR,Новосибирск,2022-11-21T04:22:38+0300
Токарь-универсал,45000.0,,RUR,Омск,2022-11-21T05:08:06+0300
Токарь (ОбьГЭС),45000.0,,RUR,Новосибирск,2022-11-21T07:40:52+0300
Графический дизайнер,2000000.0,4000000.0,UZS,Ташкент,2022-11-21T07:20:36+0300
Механик (ведущий специалист по механическому оборудованию),,,,Новокузнецк,2022-11-21T06:03:59+0300
Ведущий программист 1С,150000.0,150000.0,RUR,Казань,2022-11-21T07:12:23+0300
Ведущий программист-разработчик,,,,Владивосток,2022-11-21T07:10:29+0300
Программист 1С,110000.0,,RUR,Красноярск,2022-11-21T07:24:02+0300
Механик,35000.0,65000.0,RUR,Новосибирск,2022-11-21T06:57:50+0300
Специалист отдела планирования продаж (аналитик по планированию продаж),,,,Алматы,2022-11-21T05:43:15+0300
Сервисный инженер,45000.0,,RUR,Ижевск,2022-11-21T06:34:54+0300
Авиатехник СГСМ,150000.0,150000.0,KZT,Жезказган,2022-11-21T06:56:41+0300
Главный механик,250000.0,,KZT,Алматы,2022-11-21T05:55:54+0300
Младший системный администратор,30000.0,30000.0,RUR,Барнаул,2022-11-21T07:52:23+0300
Монтажник ВОЛС,35000.0,80000.0,RUR,Сочи,2022-11-21T07:11:01+0300
Data-инженер,,,,Алматы,2022-11-21T07:55:50+0300
Электромеханик,70000.0,90000.0,RUR,Старый Оскол,2022-11-21T05:52:08+0300
Механик автотранспортного цеха,60000.0,,RUR,Новокузнецк,2022-11-21T07:42:01+0300
Ведущий инженер-программист,,,,Асбест,2022-11-21T06:38:13+0300
Дизайнер Интерьера - Комплектатор (Стажер),10000.0,40000.0,RUR,Красноярск,2022-11-21T04:49:27+0300
Инсталлятор,40000.0,70000.0,RUR,Ижевск,2022-11-21T06:34:42+0300
Архитектор информационных систем (IT),,,,Москва,2022-11-21T04:01:11+0300
Механик автотранспортного цеха,60000.0,,RUR,Прокопьевск,2022-11-21T07:42:55+0300
Главный механик золотоизвлекательной фабрики,150000.0,180000.0,RUR,Иркутск,2022-11-21T07:56:48+0300
Главный системный администратор,80000.0,110000.0,RUR,Саратов,2022-11-21T07:13:02+0300
Оператор-наладчик станка сетки рабица,,,,Шымкент,2022-11-21T07:44:20+0300
Токарь,93000.0,,RUR,Искитим,2022-11-21T07:58:18+0300
Программист 1С,170000.0,,RUR,Екатеринбург,2022-11-21T07:26:52+0300
Инженер отдела транспортной сети связи,,,,Ноябрьск,2022-11-21T07:06:48+0300
"Аналитик (data governance, data management)",,,,Москва,2022-11-21T07:41:14+0300
Аналитик бизнес-процессов,,,,Алматы,2022-11-21T07:23:31+0300
Консультант 1С,80000.0,90000.0,RUR,Владивосток,2022-11-21T04:05:40+0300
Инженер-электроник 2 категории группы АСУТП,54900.0,54900.0,RUR,Барнаул,2022-11-21T04:17:00+0300
Консультант 1С,,,,Саратов,2022-11-21T07:48:07+0300
Ведущий программист (веб-разработчик),,,,Новосибирск,2022-11-21T06:48:38+0300
Ведущий специалист поддержки телекоммуникационных систем,,,,Чита,2022-11-21T05:58:22+0300
Инженер связи,,,,Нижний Тагил,2022-11-21T07:25:57+0300
Инженер по гарантии,,,,Уфа,2022-11-21T07:16:09+0300
Аналитик производства,50000.0,,RUR,Новосибирск,2022-11-21T06:52:09+0300
Механик по ремонту подземного оборудования,,,,Караганда,2022-11-21T07:52:30+0300
Программист PHP (Backend),150000.0,,RUR,Владивосток,2022-11-21T06:41:27+0300
Рабочий по комплексному обслуживанию зданий,24000.0,,RUR,Чита,2022-11-21T06:17:00+0300
Инженер средств радио и телевидения в г. Стрежевой,38235.0,,RUR,Стрежевой,2022-11-21T06:27:16+0300
React Native разработчик,90000.0,,RUR,Тюмень,2022-11-21T06:38:44+0300
Токарь,93000.0,,RUR,Новосибирск,2022-11-21T07:47:05+0300
Инженер по гарантии,35000.0,50000.0,RUR,Томск,2022-11-21T06:07:04+0300
Специалист по ремонту медицинского оборудования,,55000.0,RUR,Новосибирск,2022-11-21T06:12:20+0300
Оператор станков с ПУ,100000.0,,RUR,Минусинск,2022-11-21T07:20:15+0300
Ведущий программист 1С,187000.0,,RUR,Владивосток,2022-11-21T04:06:43+0300
Токарь,50000.0,,RUR,Березовский (Свердловская область),2022-11-21T06:26:34+0300
Специалист по описанию бизнес процессов,,,,Новосибирск,2022-11-21T05:31:48+0300
Технический директор,,,,Осинники,2022-11-21T05:45:10+0300
PHP backend - разработчик,,,,Челябинск,2022-11-21T07:05:52+0300
Старший электромеханик средств радио и телевидения в с. Павлово Каргасокского района,32955.0,,RUR,Павлово,2022-11-21T06:27:16+0300
Системный администратор/инженер (IT-аутсорсинг),,,,Усть-Илимск,2022-11-21T07:42:38+0300
Архитектор 1С УХ,,,,Волгоград,2022-11-21T07:59:30+0300
Инженер-механик сервисной службы,70000.0,140000.0,RUR,Чита,2022-11-21T05:51:40+0300
Врач методист,45000.0,50000.0,RUR,Кемерово,2022-11-21T07:11:41+0300
Ведущий специалист Сектора информационных технологий,140000.0,145000.0,KZT,Усть-Каменогорск,2022-11-21T07:25:15+0300
Программист 1С,,,,Новосибирск,2022-11-21T05:20:52+0300
Архитектор 1С ERP (Блок Финансы),,,,Москва,2022-11-21T06:25:21+0300
Токарь (крупногабаритные),123000.0,,RUR,Новокузнецк,2022-11-21T07:19:51+0300
Механик автотранспортного цеха,60000.0,,RUR,Мыски,2022-11-21T07:42:36+0300
Системный администратор,70000.0,,RUR,Магадан,2022-11-21T05:57:57+0300
Программист 1С,,,,Екатеринбург,2022-11-21T05:54:36+0300
Эксперт по базам данных Oracle/PostgreSQL,,,,Екатеринбург,2022-11-21T07:19:54+0300
1С разработчик (Middle),,,,Алматы,2022-11-21T07:33:05+0300
Web-программист (Bitrix).,,,,Екатеринбург,2022-11-21T06:03:24+0300
Инженер-программист,52000.0,,RUR,Томск,2022-11-21T05:22:51+0300
Техник,22900.0,,RUR,Керчь,2022-11-21T07:05:51+0300
Консультант-аналитик 1С (ДЗО),,,,Москва,2022-11-21T07:47:22+0300
Support Engineer/Administrator Linux,,,,Хабаровск,2022-11-21T05:42:54+0300
Оператор станков с ЧПУ,40000.0,60000.0,RUR,Пермь,2022-11-21T06:16:52+0300
Технический директор,,,,Новокузнецк,2022-11-21T05:45:44+0300
Главный Web-программист,,,,Владивосток,2022-11-21T07:47:37+0300
Мастер механического цеха,32000.0,32000.0,RUR,Омск,2022-11-21T06:46:11+0300
Программист 1С,100000.0,140000.0,RUR,Владивосток,2022-11-21T04:22:38+0300
Оператор станков с ПУ,100000.0,,RUR,Абакан,2022-11-21T07:20:02+0300
Ведущий программист 1С,,,,Набережные Челны,2022-11-21T07:05:56+0300
Инженер-куратор,27000.0,,RUR,Чита,2022-11-21T06:02:25+0300
Механик автотранспортного цеха,60000.0,,RUR,Киселевск,2022-11-21T07:43:10+0300
Младший инженер поддержки голосовых решений,35000.0,50000.0,RUR,Екатеринбург,2022-11-21T07:52:50+0300
Консультант Банка (удаленно),35000.0,,RUR,Томск,2022-11-21T06:58:25+0300
Ведущий инженер-программист 1C,,,,Пермь,2022-11-21T06:24:31+0300
Сервисный инженер,60000.0,75000.0,RUR,Томск,2022-11-21T07:20:02+0300
Senior Android Developer,4000.0,,EUR,Кипр,2022-11-21T06:44:23+0300
Токарь-карусельщик,,,,Новосибирск,2022-11-21T05:20:44+0300
DevOps/Системный администратор,,,,Барнаул,2022-11-21T06:29:07+0300
"Инженер 1 категории (СДТУ, Салехардский район электрических сетей)",,,,Салехард,2022-11-21T07:26:31+0300
Инженер 1 категории Отдела главного механика Цементного завода,116000.0,,RUR,Норильск,2022-11-21T06:42:55+0300
Архитектор 1С ERP,,,,Саратов,2022-11-21T07:59:11+0300
Архитектор 1С,,,,Пермь,2022-11-21T06:25:03+0300
Разработчик 1С-Битрикс,,,,Пермь,2022-11-21T06:24:14+0300
Инженер-механик сервисной службы,70000.0,,RUR,Выборг,2022-11-21T05:51:13+0300
Архитектор 1С ERP,,,,Волгоград,2022-11-21T07:59:47+0300
Шлифовщик,39000.0,,RUR,Пермь,2022-11-21T07:53:50+0300
Руководитель проекта внедрения системы 1С ERP,,,,Уфа,2022-11-21T06:59:37+0300
Аналитик антивирусной защиты (АВЗ),,,,Санкт-Петербург,2022-11-21T07:45:06+0300
Инженер поддержки голосовых решений,55000.0,,RUR,Екатеринбург,2022-11-21T07:52:50+0300
Ведущий программист 1С,,,,Новосибирск,2022-11-21T06:52:42+0300
"Программист 1С (платформа 8.3, УТ11.5, Бухгалтерия 3.0, Розница 2.3)",100000.0,,RUR,Томск,2022-11-21T07:11:18+0300
Фрезеровщик,60000.0,,RUR,Серов,2022-11-21T07:27:43+0300
Фрезеровщик,60000.0,,RUR,Первоуральск,2022-11-21T07:27:36+0300
Фрезеровщик,60000.0,,RUR,Новоуральск,2022-11-21T07:27:48+0300
Фрезеровщик,60000.0,,RUR,Каменск-Уральский,2022-11-21T07:27:29+0300
"Technical Architect with Azure Experience, Travel Services",,,,Алматы,2022-11-21T07:59:32+0300
"Middle/Senior Technical animator (AAA FPS, remote)",3000.0,5000.0,EUR,Тбилиси,2022-11-21T07:36:52+0300
"Senior technical artist (AAA FPS, remote)",3000.0,5500.0,EUR,Тбилиси,2022-11-21T07:42:52+0300
Помощник backend-разработчика (Junior),40000.0,60000.0,RUR,Москва,2022-11-21T10:59:04+0300
Дизайнер посуды (удаленно),,,,Москва,2022-11-21T09:35:21+0300
Копирайтер,,,,Санкт-Петербург,2022-11-21T09:46:32+0300
Рабочий по комплексному обслуживанию зданий (Шабаны),,1220.0,BYR,Минск,2022-11-21T11:08:34+0300
Backend Developer,,,,Москва,2022-11-21T10:04:51+0300
Стажер по специальности Информационные технологии,,,,Алматы,2022-11-21T08:43:52+0300
Помощник аналитика,35000.0,40000.0,RUR,Москва,2022-11-21T11:40:16+0300
Frontend-разработчик (Middle+),,,,Москва,2022-11-21T10:30:32+0300
Junior разработчик Javascript (удалённо),40000.0,60000.0,RUR,Томск,2022-11-21T10:43:04+0300
Инженер по ремонту и наладке электронного оборудования / Инженер слаботочных систем / Слаботочник,80000.0,,RUR,Москва,2022-11-21T09:29:45+0300
Выездной компьютерный мастер,300000.0,500000.0,KZT,Астана,2022-11-21T10:29:43+0300
Аналитик данных,80000.0,,RUR,Москва,2022-11-21T09:11:34+0300
"Сборщик ПК/серверов (серверы, сетевое оборудование)",1300.0,1600.0,BYR,Минск,2022-11-21T09:43:16+0300
Тестировщик ПО,30000.0,60000.0,RUR,Екатеринбург,2022-11-21T09:46:24+0300
Главный специалист отдела информационных технологий,29000.0,34196.0,RUR,Саратов,2022-11-21T10:34:04+0300
Сервисный инженер / Инженер техподдержки,55000.0,74000.0,RUR,Москва,2022-11-21T09:22:18+0300
Frontend-разработчик,55000.0,80000.0,RUR,Москва,2022-11-21T10:44:46+0300
Стажер-программист,30000.0,35000.0,RUR,Ростов-на-Дону,2022-11-21T09:58:16+0300
"Аналитик, г.Уральск",700000.0,,KZT,Уральск,2022-11-21T10:58:02+0300
Оператор ЧПУ лазерная резка,50000.0,75000.0,RUR,Уфа,2022-11-21T11:36:26+0300
IT Project Manager,,,,Москва,2022-11-21T10:41:31+0300
Выездной компьютерный мастер,300000.0,500000.0,KZT,Алматы,2022-11-21T10:29:43+0300
Fullstack-разработчик,,,,Москва,2022-11-21T10:34:08+0300
Слесарь-ремонтник,50000.0,,RUR,Краснодар,2022-11-21T09:19:49+0300
Журналист-копирайтер,,,,Минск,2022-11-21T09:03:51+0300
Unity Developer (Gamedev),,,,Москва,2022-11-21T11:25:14+0300
AQA Engineer,,,,Минск,2022-11-21T08:52:01+0300
Аналитик WB,35000.0,,RUR,Ростов (Ярославская область),2022-11-21T08:50:09+0300
Начинающий специалист по защите информации,,,,Екатеринбург,2022-11-21T10:05:43+0300
Python developer,,,,Москва,2022-11-21T10:30:27+0300
Middle QA Engineer,1600.0,2400.0,USD,Алматы,2022-11-21T09:48:31+0300
Middle Frontend разработчик (React),,,,Москва,2022-11-21T10:53:56+0300
Системный программист в отдел адаптации ОС Аврора,,,,Москва,2022-11-21T10:27:20+0300
DevOps инженер,,,,Москва,2022-11-21T10:06:04+0300
Специалист по тестированию,,,,Москва,2022-11-21T09:44:57+0300
Junior ETL-developer,,,,Ростов-на-Дону,2022-11-21T10:40:56+0300
Инженер-монтажник слаботочных систем,80000.0,120000.0,RUR,Москва,2022-11-21T11:14:08+0300
Оператор станков с ЧПУ,50000.0,,RUR,Ижевск,2022-11-21T11:17:23+0300
Автор-журналист в книжное издательство,60000.0,100000.0,RUR,Москва,2022-11-21T08:15:59+0300
Разработчик Node.js,50000.0,80000.0,RUR,Киров (Кировская область),2022-11-21T08:14:50+0300
Руководитель проекта (IT Project manager),,,,Санкт-Петербург,2022-11-21T11:30:58+0300
Android developer,500.0,1500.0,USD,Минск,2022-11-21T11:41:54+0300
Аналитик,,,,Москва,2022-11-21T09:27:30+0300
Оператор станков с ЧПУ,50000.0,80000.0,RUR,Нижний Новгород,2022-11-21T11:30:00+0300
Системный аналитик,,,,Москва,2022-11-21T10:29:17+0300
Специалист по IT,200000.0,,KZT,Астана,2022-11-21T09:12:09+0300
"Junior Back-end developer (c#, .net core)",,100000.0,RUR,Курск,2022-11-21T11:54:48+0300
