name,salary,published_at,area_name
Applications Engineer   (Job# 257161),,2003-07-16 11:17:11+04:00,Нижний Новгород
Консультант по внедрению (Oracle E-Business Suite),61228.0,2003-10-27 00:00:00+03:00,Москва
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",30380.0,2003-07-16 18:31:53+04:00,Москва
Install Engineer   (Job# 220879),,2003-07-16 20:32:37+04:00,Нижний Новгород
Intel Tools Business Development Manager   (Job# 257157),,2003-07-16 20:36:55+04:00,Нижний Новгород
Release Manager   (Job# 260050),,2003-07-16 20:41:57+04:00,Нижний Новгород
НАЧАЛЬНИК ПРОЕКТНОГО ОТДЕЛА (СЛАБОТОЧНЫЕ СИСТЕМЫ),,2003-07-17 10:07:35+04:00,Санкт-Петербург
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",30380.0,2003-07-17 11:25:13+04:00,Москва
Главный специалист отдела эксплуатации и технического обслуживания,,2003-10-06 00:00:00+04:00,Москва
Специалист отдела эксплуатации и технического обслуживания Управления информационной техники и связи,,2003-10-06 00:00:00+04:00,Москва
Системный администратор,24304.0,2003-07-17 15:47:04+04:00,Москва
Специалист отдела труда и заработной платы.,36737.0,2003-10-06 00:00:00+04:00,Москва
Business Development Manager,,2003-10-06 00:00:00+04:00,Москва
Pre-Sales Manager,,2003-10-06 00:00:00+04:00,Москва
Sales Manager,,2003-10-06 00:00:00+04:00,Москва
Sales Manager (Oil and Gas),,2003-10-06 00:00:00+04:00,Москва
Sales Manager (Government),,2003-10-06 00:00:00+04:00,Москва
Senior CAD Engineer   (Job# 253952),,2003-07-17 20:03:13+04:00,Москва
Senior CAD Engineer   (Job# 253955),,2003-07-17 20:08:18+04:00,Москва
Senior Research Scientist   (Job# 259572),,2003-07-17 20:13:18+04:00,Нижний Новгород
Senior Software Engineer   (Job# 259847),,2003-07-17 20:14:50+04:00,Нижний Новгород
Senior Software Engineer   (Job# 259350),,2003-07-17 20:18:32+04:00,Нижний Новгород
Software Engineer   (Job# 259576),,2003-07-17 20:20:49+04:00,Нижний Новгород
Software Engineer   (Job# 254874),,2003-07-17 20:22:47+04:00,Нижний Новгород
Validation Engineer   (Job# 206051),,2003-07-17 20:28:02+04:00,Нижний Новгород
Руководитель направления СКС,,2003-07-18 11:45:22+04:00,Санкт-Петербург
Продукт-менеджер по промышленным компьютерам,45571.0,2003-07-18 12:27:41+04:00,Санкт-Петербург
Financial systems support specialist (IT Specialist),88104.0,2003-07-18 16:38:26+04:00,Москва
Менеджер в отдел сувенирной продукции,15190.0,2003-07-18 18:59:15+04:00,Москва
"Менеджер по работе с партнерами, вендорами",30503.0,2003-09-15 00:00:00+04:00,Москва
Системный администратор,30503.0,2003-09-17 00:00:00+04:00,Москва
Системный администратор,24402.0,2003-09-17 00:00:00+04:00,Москва
Sales Consultant,24304.0,2003-07-21 17:04:03+04:00,Москва
Инженер службы сопровождения,,2003-10-13 00:00:00+04:00,Москва
Руководитель проектной группы,,2003-10-10 00:00:00+04:00,Москва
Специалист отдела ИТ,,2003-09-18 00:00:00+04:00,Москва
IT Support Specialist (Finance Department),,2003-08-18 00:00:00+04:00,Москва
