name,salary_from,salary_to,salary_currency,area_name,published_at
Программист C (Linux),,,,Санкт-Петербург,2022-12-05T07:35:28+0300
Руководитель проекта,100000.0,150000.0,RUR,Екатеринбург,2022-12-05T06:38:10+0300
Механик,130000.0,170000.0,RUR,Комсомольск-на-Амуре,2022-12-05T04:46:14+0300
Оператор станков с ЧПУ,55000.0,60000.0,RUR,Новосибирск,2022-12-05T04:36:43+0300
Ученик оператора станков с ЧПУ,24200.0,,RUR,Екатеринбург,2022-12-05T07:24:56+0300
Инженер Отдела технической поддержки,150000.0,180000.0,KZT,Алматы,2022-12-05T06:50:54+0300
Инженер группы эксплуатации пакетного ядра,,,,Екатеринбург,2022-12-05T06:59:28+0300
Рабочий по комплексному обслуживанию зданий,21000.0,,RUR,Красноярск,2022-12-05T04:31:41+0300
Web-программист,,,,Иркутск,2022-12-05T07:34:42+0300
Инженер,,,,Астана,2022-12-05T05:47:18+0300
Инженер сервисной службы,35000.0,40000.0,RUR,Омск,2022-12-05T07:06:25+0300
Программист,60000.0,100000.0,RUR,Усть-Большерецк,2022-12-05T06:29:21+0300
"Инженер по ремонту мобильных телефонов, планшетов, ноутбуков",50000.0,100000.0,RUR,Пермь,2022-12-05T06:12:44+0300
Механик по ремонту,130000.0,,RUR,Иркутск,2022-12-05T05:34:17+0300
Оператор Службы технической поддержки,,180000.0,KZT,Астана,2022-12-05T07:23:29+0300
Программист 1С,50000.0,80000.0,RUR,Красноярск,2022-12-05T06:41:02+0300
DevOps-инженер (Digital Platform),,250000.0,RUR,Москва,2022-12-05T07:28:04+0300
Инженер первой линии технической поддержки,40000.0,,RUR,Улан-Удэ,2022-12-05T06:33:20+0300
Механик,,,,Астана,2022-12-05T06:14:14+0300
Сервисный инженер,60000.0,80000.0,RUR,Томск,2022-12-05T06:04:04+0300
Разработчик 1С,600000.0,,KZT,Алматы,2022-12-05T06:11:25+0300
Инженер по ремонту компьютерного оборудования и принтеров (Сервисный центр),185000.0,235000.0,KZT,Астана,2022-12-05T06:10:45+0300
Frontend-разработчик (Angular),,,,Астана,2022-12-05T07:41:35+0300
Специалист отдела поддержки пользователей,,,,Уфа,2022-12-05T07:29:57+0300
"Руководитель проекта по процессам закупа, удаленно",,,,Красноярск,2022-12-05T06:46:23+0300
Дизайнер (удаленно),35000.0,,RUR,Новосибирск,2022-12-05T05:21:59+0300
Инженер технической поддержки В2В,52000.0,,RUR,Владивосток,2022-12-05T06:25:23+0300
Оператор станков с ЧПУ (токарная группа).Бронь от призыва по мобилизации.,80000.0,,RUR,Новосибирск,2022-12-05T07:58:06+0300
Токарь,,,,Москва,2022-12-05T07:53:02+0300
Механик,100000.0,160000.0,RUR,Хабаровск,2022-12-05T05:45:19+0300
Оператор станков с ЧПУ,45000.0,65000.0,RUR,Челябинск,2022-12-05T06:16:27+0300
"Ведущий инженер отдела информационной безопасности, г. Тюмень",90000.0,,RUR,Тюмень,2022-12-05T07:11:54+0300
Главный механик в автопредприятие.,70000.0,,RUR,Ульяновск,2022-12-05T07:52:16+0300
Механик,,,,Хабаровск,2022-12-05T07:26:42+0300
Оператор отдела видеонаблюдения,,45000.0,RUR,Екатеринбург,2022-12-05T07:40:00+0300
Системный аналитик,,,,Екатеринбург,2022-12-05T07:37:21+0300
IT Аналитик,,,,Пермь,2022-12-05T07:55:19+0300
Сервисный инженер,165000.0,215000.0,KZT,Актобе,2022-12-05T06:10:34+0300
Специалист (инженер) по геоинформационным системам,,,,Уфа,2022-12-05T06:38:45+0300
Программист - консультант 1С,50000.0,100000.0,RUR,Якутск,2022-12-05T06:22:33+0300
Сервисный инженер,25000.0,,RUR,Искитим,2022-12-05T06:58:49+0300
Токарь-универсал,34000.0,,RUR,Воткинск,2022-12-05T06:26:19+0300
PHP-разработчик (Middle),150000.0,240000.0,RUR,Томск,2022-12-05T07:06:23+0300
Ведущий специалист АСУ по ИБ,60000.0,70000.0,RUR,Казань,2022-12-05T07:45:55+0300
Графический дизайнер,200000.0,,KZT,Кокшетау,2022-12-05T06:22:38+0300
Бренд - менеджер,,80000.0,RUR,Екатеринбург,2022-12-05T06:33:20+0300
Инженер по транспорту,30000.0,35000.0,RUR,Долгодеревенское,2022-12-05T06:40:01+0300
Инженер по слаботочным системам,,,,Уфа,2022-12-05T07:54:39+0300
Системный администратор,60000.0,100000.0,RUR,Усть-Большерецк,2022-12-05T06:28:18+0300
Начальник отдела информационных технологий (системный администратор),40000.0,,RUR,Кемерово,2022-12-05T07:11:53+0300
Наладчик станков с ЧПУ,72500.0,,RUR,Челябинск,2022-12-05T06:16:22+0300
Наладчик шлифовальных станков,80000.0,,RUR,Самара,2022-12-05T07:28:57+0300
Техник-механик,50000.0,50000.0,RUR,Новосибирск,2022-12-05T05:13:34+0300
Инженер-программист в лабораторию виртуальной и дополненной реальности ВКИ НГУ,50000.0,50000.0,RUR,Новосибирск,2022-12-05T05:59:51+0300
